BODY_DvhArray Dose (Gy),BODY_DvhArray Value (% of 10696.900 cc),Bladder_DvhArray Dose (Gy),Bladder_DvhArray Value (% of 117.484 cc),FemoralHeadLt_DvhArray Dose (Gy),FemoralHeadLt_DvhArray Value (% of 49.422 cc),FemoralHeadRT_DvhArray Dose (Gy),FemoralHeadRT_DvhArray Value (% of 50.305 cc),PTV_DvhArray Dose (Gy),PTV_DvhArray Value (% of 49.023 cc),Rectum_DvhArray Dose (Gy),Rectum_DvhArray Value (% of 30.762 cc),
23.700000,33.257809,23.700000,100.000000,23.700000,93.036674,23.700000,100.000000,23.700000,100.000000,23.700000,97.453968,
23.900000,32.592717,23.900000,100.000000,23.900000,91.119981,23.900000,100.000000,23.900000,100.000000,23.900000,97.422222,
24.100000,31.887528,24.100000,100.000000,24.100000,88.045368,24.100000,100.000000,24.100000,100.000000,24.100000,97.390476,
24.300000,31.108082,24.300000,100.000000,24.300000,83.441353,24.300000,100.000000,24.300000,100.000000,24.300000,97.384127,
24.500000,30.288046,24.500000,100.000000,24.500000,76.707240,24.500000,99.798105,24.500000,100.000000,24.500000,97.371429,
24.700000,29.390191,24.700000,100.000000,24.700000,67.621720,24.700000,97.616089,24.700000,100.000000,24.700000,97.320635,
24.900000,28.439788,24.900000,100.000000,24.900000,56.370534,24.900000,91.904799,24.900000,100.000000,24.900000,97.282540,
25.100000,27.415711,25.100000,100.000000,25.100000,43.870534,25.100000,83.161205,25.100000,100.000000,25.100000,97.238095,
25.300000,26.294224,25.300000,100.000000,25.300000,31.457477,25.300000,71.754154,25.300000,100.000000,25.300000,97.180952,
25.500000,24.949542,25.500000,100.000000,25.500000,19.822953,25.500000,57.699177,25.500000,100.000000,25.500000,97.104762,
25.700000,23.440586,25.700000,100.000000,25.700000,13.306197,25.700000,41.745613,25.700000,100.000000,25.700000,97.015873,
25.900000,21.845997,25.900000,100.000000,25.900000,11.093108,25.900000,24.895170,25.900000,100.000000,25.900000,96.952381,
26.100000,20.318454,26.100000,100.000000,26.100000,9.484666,26.100000,16.038981,26.100000,100.000000,26.100000,96.888889,
26.300000,18.938880,26.300000,100.000000,26.300000,8.208188,26.300000,13.391055,26.300000,100.000000,26.300000,96.838095,
26.500000,17.839358,26.500000,100.000000,26.500000,7.192539,26.500000,11.558472,26.500000,100.000000,26.500000,96.787302,
26.700000,17.066502,26.700000,100.000000,26.700000,6.362630,26.700000,10.114148,26.700000,100.000000,26.700000,96.774603,
26.900000,16.780151,26.900000,100.000000,26.900000,5.647328,26.900000,8.883367,26.900000,100.000000,26.900000,96.749206,
27.100000,16.577552,27.100000,100.000000,27.100000,5.058489,27.100000,7.932132,27.100000,100.000000,27.100000,96.723810,
27.300000,16.394746,27.300000,100.000000,27.300000,4.611919,27.300000,7.035254,27.300000,100.000000,27.300000,96.539683,
27.500000,16.239437,27.500000,100.000000,27.500000,4.098166,27.500000,6.355801,27.500000,100.000000,27.500000,96.076190,
27.700000,16.099009,27.700000,100.000000,27.700000,3.702972,27.700000,5.637521,27.700000,100.000000,27.700000,95.746032,
27.900000,15.952063,27.900000,100.000000,27.900000,3.406576,27.900000,5.035720,27.900000,100.000000,27.900000,94.806349,
28.100000,15.829017,28.100000,100.000000,28.100000,3.027189,28.100000,4.639696,28.100000,100.000000,28.100000,94.311111,
28.300000,15.718954,28.300000,100.000000,28.300000,2.738697,28.300000,4.239789,28.300000,100.000000,28.300000,93.580952,
28.500000,15.614240,28.500000,100.000000,28.500000,2.635947,28.500000,3.964125,28.500000,100.000000,28.500000,92.565079,
28.700000,15.512064,28.700000,100.000000,28.700000,2.371167,28.700000,3.637987,28.700000,100.000000,28.700000,92.088889,
28.900000,15.407916,28.900000,100.000000,28.900000,2.086627,28.900000,3.373971,28.900000,100.000000,28.900000,91.580952,
29.100000,15.312861,29.100000,100.000000,29.100000,1.932501,29.100000,3.152663,29.100000,100.000000,29.100000,90.292063,
29.300000,15.228963,29.300000,100.000000,29.300000,1.794183,29.300000,2.857587,29.300000,100.000000,29.300000,89.504762,
29.500000,15.147072,29.500000,100.000000,29.500000,1.624249,29.500000,2.597453,29.500000,100.000000,29.500000,88.990476,
29.700000,15.065200,29.700000,100.000000,29.700000,1.517547,29.700000,2.356732,29.700000,100.000000,29.700000,88.539683,
29.900000,14.980480,29.900000,100.000000,29.900000,1.398988,29.900000,2.162603,29.900000,100.000000,29.900000,87.752381,
30.100000,14.899374,30.100000,99.995013,30.100000,1.197439,30.100000,1.995651,30.100000,100.000000,30.100000,86.768254,
30.300000,14.826266,30.300000,99.990025,30.300000,1.043313,30.300000,1.883056,30.300000,100.000000,30.300000,86.158730,
30.500000,14.748649,30.500000,99.990025,30.500000,1.027506,30.500000,1.828700,30.500000,100.000000,30.500000,85.415873,
30.700000,14.671907,30.700000,99.990025,30.700000,0.901043,30.700000,1.735518,30.700000,100.000000,30.700000,84.825397,
30.900000,14.605281,30.900000,99.990025,30.900000,0.822004,30.900000,1.615158,30.900000,100.000000,30.900000,84.412698,
31.100000,14.539057,31.100000,99.990025,31.100000,0.723206,31.100000,1.502563,31.100000,100.000000,31.100000,84.038095,
31.300000,14.468925,31.300000,99.990025,31.300000,0.723206,31.300000,1.370554,31.300000,100.000000,31.300000,83.307937,
31.500000,14.395342,31.500000,99.990025,31.500000,0.565128,31.500000,1.238546,31.500000,100.000000,31.500000,82.476190,
31.700000,14.330633,31.700000,99.990025,31.700000,0.533512,31.700000,1.098773,31.700000,100.000000,31.700000,81.879365,
31.900000,14.262327,31.900000,99.990025,31.900000,0.399146,31.900000,1.017239,31.900000,100.000000,31.900000,81.219048,
32.100000,14.195044,32.100000,99.990025,32.100000,0.351723,32.100000,0.931822,32.100000,100.000000,32.100000,80.558730,
32.300000,14.130846,32.300000,99.990025,32.300000,0.335915,32.300000,0.823109,32.300000,100.000000,32.300000,80.088889,
32.500000,14.067178,32.500000,99.981713,32.500000,0.335915,32.500000,0.749340,32.500000,100.000000,32.500000,79.549206,
32.700000,14.004186,32.700000,99.955114,32.700000,0.316156,32.700000,0.714397,32.700000,100.000000,32.700000,79.180952,
32.900000,13.939404,32.900000,99.908565,32.900000,0.268732,32.900000,0.628980,32.900000,100.000000,32.900000,78.768254,
33.100000,13.878347,33.100000,99.863679,33.100000,0.205501,33.100000,0.570741,33.100000,100.000000,33.100000,78.349206,
33.300000,13.812761,33.300000,99.795518,33.300000,0.185741,33.300000,0.570741,33.300000,100.000000,33.300000,77.726984,
33.500000,13.749586,33.500000,99.679146,33.500000,0.114606,33.500000,0.551328,33.500000,100.000000,33.500000,77.136508,
33.700000,13.692162,33.700000,99.431440,33.700000,0.094847,33.700000,0.551328,33.700000,100.000000,33.700000,76.476190,
33.900000,13.640253,33.900000,99.431440,33.900000,0.094847,33.900000,0.551328,33.900000,100.000000,33.900000,75.911111,
34.100000,13.587540,34.100000,99.431440,34.100000,0.051375,34.100000,0.500854,34.100000,100.000000,34.100000,75.358730,
34.300000,13.527962,34.300000,99.431440,34.300000,0.035567,34.300000,0.427085,34.300000,100.000000,34.300000,74.844444,
34.500000,13.471706,34.500000,99.431440,34.500000,0.035567,34.500000,0.357198,34.500000,100.000000,34.500000,74.342857,
34.700000,13.412822,34.700000,99.431440,34.700000,0.035567,34.700000,0.306725,34.700000,100.000000,34.700000,73.822222,
34.900000,13.354412,34.900000,99.431440,34.900000,0.035567,34.900000,0.306725,34.900000,100.000000,34.900000,73.409524,
35.100000,13.298303,35.100000,99.431440,35.100000,0.035567,35.100000,0.256251,35.100000,100.000000,35.100000,72.876190,
35.300000,13.241318,35.300000,99.431440,35.300000,0.035567,35.300000,0.201895,35.300000,100.000000,35.300000,72.615873,
35.500000,13.183967,35.500000,99.421466,35.500000,0.007904,35.500000,0.201895,35.500000,100.000000,35.500000,72.158730,
35.700000,13.122490,35.700000,99.396529,35.700000,0.000000,35.700000,0.182482,35.700000,100.000000,35.700000,71.288889,
35.900000,13.065979,35.900000,99.351643,35.900000,0.000000,35.900000,0.147538,35.900000,100.000000,35.900000,70.685714,
36.100000,13.010893,36.100000,99.295119,36.100000,0.000000,36.100000,0.147538,36.100000,100.000000,36.100000,70.082540,
36.300000,12.955496,36.300000,99.226958,36.300000,0.000000,36.300000,0.147538,36.300000,100.000000,36.300000,69.453968,
36.500000,12.896137,36.500000,99.108924,36.500000,0.000000,36.500000,0.147538,36.500000,100.000000,36.500000,68.698413,
36.700000,12.833929,36.700000,98.806357,36.700000,0.000000,36.700000,0.147538,36.700000,100.000000,36.700000,68.311111,
36.900000,12.776305,36.900000,98.666711,36.900000,0.000000,36.900000,0.147538,36.900000,100.000000,36.900000,67.803175,
37.100000,12.714371,37.100000,98.666711,37.100000,0.000000,37.100000,0.147538,37.100000,100.000000,37.100000,67.466667,
37.300000,12.652529,37.300000,98.666711,37.300000,0.000000,37.300000,0.147538,37.300000,100.000000,37.300000,67.238095,
37.500000,12.592056,37.500000,98.666711,37.500000,0.000000,37.500000,0.128125,37.500000,100.000000,37.500000,66.349206,
37.700000,12.533683,37.700000,98.666711,37.700000,0.000000,37.700000,0.108713,37.700000,100.000000,37.700000,65.917460,
37.900000,12.472936,37.900000,98.666711,37.900000,0.000000,37.900000,0.081534,37.900000,100.000000,37.900000,65.523810,
38.100000,12.411641,38.100000,98.646762,38.100000,0.000000,38.100000,0.073769,38.100000,100.000000,38.100000,65.130159,
38.300000,12.348010,38.300000,98.620162,38.300000,0.000000,38.300000,0.054356,38.300000,100.000000,38.300000,64.234921,
38.500000,12.285620,38.500000,98.576938,38.500000,0.000000,38.500000,0.027178,38.500000,100.000000,38.500000,63.358730,
38.700000,12.225877,38.700000,98.512103,38.700000,0.000000,38.700000,0.027178,38.700000,100.000000,38.700000,62.609524,
38.900000,12.165587,38.900000,98.435630,38.900000,0.000000,38.900000,0.000000,38.900000,100.000000,38.900000,61.911111,
39.100000,12.101170,39.100000,98.327570,39.100000,0.000000,39.100000,0.000000,39.100000,100.000000,39.100000,61.231746,
39.300000,12.032444,39.300000,98.029991,39.300000,0.000000,39.300000,0.000000,39.300000,100.000000,39.300000,60.596825,
39.500000,11.958752,39.500000,97.725761,39.500000,0.000000,39.500000,0.000000,39.500000,100.000000,39.500000,59.980952,
39.700000,11.887507,39.700000,97.725761,39.700000,0.000000,39.700000,0.000000,39.700000,100.000000,39.700000,59.276190,
39.900000,11.815458,39.900000,97.725761,39.900000,0.000000,39.900000,0.000000,39.900000,100.000000,39.900000,58.666667,
40.100000,11.745125,40.100000,97.725761,40.100000,0.000000,40.100000,0.000000,40.100000,100.000000,40.100000,58.393651,
40.300000,11.675066,40.300000,97.707474,40.300000,0.000000,40.300000,0.000000,40.300000,100.000000,40.300000,58.012698,
40.500000,11.593267,40.500000,97.677550,40.500000,0.000000,40.500000,0.000000,40.500000,100.000000,40.500000,56.533333,
40.700000,11.512235,40.700000,97.627677,40.700000,0.000000,40.700000,0.000000,40.700000,100.000000,40.700000,55.447619,
40.900000,11.428610,40.900000,97.567828,40.900000,0.000000,40.900000,0.000000,40.900000,100.000000,40.900000,54.476190,
41.100000,11.343397,41.100000,97.471406,41.100000,0.000000,41.100000,0.000000,41.100000,100.000000,41.100000,53.631746,
41.300000,11.253290,41.300000,97.355034,41.300000,0.000000,41.300000,0.000000,41.300000,100.000000,41.300000,52.933333,
41.500000,11.165137,41.500000,97.065767,41.500000,0.000000,41.500000,0.000000,41.500000,100.000000,41.500000,51.834921,
41.700000,11.070721,41.700000,96.605267,41.700000,0.000000,41.700000,0.000000,41.700000,100.000000,41.700000,51.225397,
41.900000,10.968381,41.900000,96.590305,41.900000,0.000000,41.900000,0.000000,41.900000,100.000000,41.900000,50.590476,
42.100000,10.853698,42.100000,96.550406,42.100000,0.000000,42.100000,0.000000,42.100000,100.000000,42.100000,49.250794,
